Hedgerow,Sample Name,User Email,Distance_from_hedgerow_feet,Extract Type,Anlys. Mode,Num. Drops,sampling_layer,Readout,microbes_ugC_per_gsoil,FB_ratio,Fungal_percent,Bacterial_percent,Sample_date,Test_date,cold_storage_days_bet_sample_and_test,max_depth_cm,pH (scale),Soil Moisture (percent),Soil Temperature (Fahrenheit),Soil Class,Site_Name,Weather,Crop Type,Crop Quality,Mgmt Practices,Irrigation Freq. (Times/wk),Irrigation Cycle (min.),Irrigation Rate (Gal/min),,,,,Notes
Elder,Elder2 20-30,sharedharvest2012@gmail.com,15,Soil,microbes,3,20-30cm,652 ug C / g F:B = 1.3 : 1 F 56 % B 44 %,652.1,1.3,56,44,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
Elder,elder2 0-15,sharedharvest2012@gmail.com,15,Soil,microbes,3,0-15cm,737 ug C / g F:B = 1.5 : 1 F 60 % B 40 %,736.9,1.5,59.6,40.4,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
Elder,Elder1 20-30,sharedharvest2012@gmail.com,8,Soil,microbes,3,20-30cm,636 ug C / g F:B = 1.2 : 1 F 55 % B 45 %,636,1.2,55.5,44.5,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
Elder,Elder1 0-15,sharedharvest2012@gmail.com,8,Soil,microbes,3,0-15cm,625 ug C / g F:B = 1.2 : 1 F 54 % B 46 %,624.6,1.2,54.3,45.7,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
Elder,Elder0 20-30,sharedharvest2012@gmail.com,0,Soil,microbes,3,20-30cm,279 ug C / g F:B = 0.5 : 1 F 34 % B 66 %,278.6,0.5,34.3,65.7,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
Elder,Elder0 0-15,sharedharvest2012@gmail.com,0,Soil,microbes,3,0-15cm,756 ug C / g F:B = 1.5 : 1 F 60 % B 40 %,755.6,1.5,60.5,39.5,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
BeachPlum,BeachPlum30deep,sharedharvest2012@gmail.com,30,Soil,microbes,3,20-30cm,324 ug C / g F:B = 0.6 : 1 F 38 % B 62 %,323.9,0.6,38.1,61.9,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
BeachPlum,BeachPlum30shallow,sharedharvest2012@gmail.com,30,Soil,microbes,3,0-15cm,744 ug C / g F:B = 1.5 : 1 F 60 % B 40 %,743.8,1.5,59.9,40.1,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
BeachPlum,BeachPlum0deep,sharedharvest2012@gmail.com,0,Soil,microbes,3,20-30cm,413 ug C/g F:B = 0.8:1,413,0.8,44,56,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,0,0,0,,,,,
BeachPlum,BeachPlum0shallow,sharedharvest2012@gmail.com,0,Soil,microbes,3,0-15cm,459 ug C / g F:B = 0.9 : 1 F 47 % B 53 %,459.3,0.9,47.1,52.9,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,0,0,0,,,,,
BeachPlum,BeachPlum15shallow,sharedharvest2012@gmail.com,15,Soil,microbes,3,0-15cm,1077 ug C / g F:B = .2:1,1077,2.2,68,32,2024-11-7,2024-11-17,10,15,0,0,0,,Powisset,,,,,,,,,,,,
BeachPlum,BeachPlum15deep,sharedharvest2012@gmail.com,15,Soil,microbes,3,20-30cm,635 ug C / g F:B = 1.1:1,635,1.1,53,47,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,,,,,,,,
BeachPlum,BeachPlum8deep,sharedharvest2012@gmail.com,8,Soil,microbes,3,20-30cm,527 ug C / g F:B = 1.0:1,527,1,51,49,2024-11-7,2024-11-17,10,30,0,0,0,,Powisset,,,,,,,,,,,,
BeachPlum,BeachPlum8shallow,sharedharvest2012@gmail.com,8,Soil,microbes,3,0-15cm,637 ug C / g F:B 1.3:1,637,1.3,56,44,2024-11-7,2024-11-29,22,15,0,0,0,,Powisset,,,,,,,,,,,,
